City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
0,atuona,6,PF,1571242229,75,-9.8,78.71,19.41,-139.03
1,cape town,0,ZA,1571242229,72,-33.93,72.0,19.46,18.42
2,riyadh,100,SA,1571242230,22,24.63,89.6,4.7,46.72
3,kalininsk,0,RU,1571242230,53,51.5,44.51,6.78,44.48
4,narsaq,20,GL,1571242230,47,60.91,37.4,6.71,-46.05
5,esperance,0,AU,1571241715,87,-33.86,46.4,5.82,121.89
6,pasighat,0,IN,1571242231,75,28.06,72.95,3.12,95.33
7,rikitea,100,PF,1571242231,86,-23.12,73.67,9.31,-134.97
8,provideniya,100,RU,1571241733,98,64.42,32.99,4.76,-173.23
9,puerto ayora,75,EC,1571242232,60,-0.74,73.4,17.22,-90.35
10,busselton,0,AU,1571242232,59,-33.64,46.99,8.12,115.35
11,saint-philippe,40,CA,1571242232,54,45.36,60.01,12.75,-73.48
12,katsuura,40,JP,1571242233,82,33.93,57.2,8.05,134.5
13,butaritari,100,KI,1571242233,86,3.07,77.81,9.2,172.79
14,punta arenas,20,CL,1571242233,70,-53.16,50.0,10.29,-70.91
15,yarada,75,IN,1571241731,94,17.65,78.8,2.24,83.27
16,hermanus,0,ZA,1571242233,60,-34.42,75.0,3.0,19.24
17,ushuaia,0,AR,1571242234,41,-54.81,60.8,8.14,-68.31
18,wenling,99,CN,1571242234,63,28.38,73.99,10.53,121.38
19,deputatskiy,58,RU,1571242234,86,69.3,2.39,2.45,139.9
20,shitanjing,0,CN,1571242234,47,39.23,46.0,1.01,106.34
21,flinders,40,AU,1571242235,100,-34.58,64.0,6.93,150.85
22,gat,40,SN,1571242235,70,14.69,96.8,9.17,-16.54
23,hilo,90,US,1571242235,88,19.71,73.4,8.05,-155.08
24,kainantu,36,PG,1571242236,96,-6.29,56.75,0.29,145.87
25,adrar,40,DZ,1571242236,11,27.87,96.8,6.93,-0.29
26,faanui,8,PF,1571242236,78,-16.48,79.07,10.66,-151.75
27,kungurtug,0,RU,1571242237,56,50.6,31.91,3.95,97.53
28,porto belo,75,BR,1571242240,94,-27.15,75.0,6.93,-48.54
29,sao filipe,6,CV,1571242240,75,14.9,79.79,3.55,-24.5
30,coquimbo,90,CL,1571242241,71,-29.95,57.2,3.36,-71.34
31,new norfolk,1,AU,1571242241,97,-42.78,41.0,4.0,147.06
32,victoria,75,BN,1571242242,94,5.28,78.8,3.36,115.24
33,tuatapere,34,NZ,1571242242,96,-46.13,48.99,2.19,167.69
34,souillac,90,FR,1571242243,87,45.6,60.8,11.41,-0.6
35,kapaa,90,US,1571242243,88,22.08,75.2,9.17,-159.32
36,jamestown,4,AU,1571242243,91,-33.21,43.61,13.9,138.6
37,vaini,100,IN,1571242243,92,15.34,71.69,7.16,74.49
38,severo-kurilsk,98,RU,1571242244,94,50.68,36.23,10.74,156.12
39,saint george,0,GR,1571242244,73,39.45,78.8,8.05,22.34
40,mataura,19,NZ,1571242245,96,-46.19,48.99,3.18,168.86
41,poum,0,MK,1571242245,68,41.28,64.4,2.24,20.71
42,camacha,40,PT,1571242245,68,33.08,71.6,9.17,-16.33
43,ngunguru,5,NZ,1571242246,84,-35.62,51.01,5.01,174.5
44,saskylakh,100,RU,1571242246,95,71.97,10.31,8.78,114.09
45,arraial do cabo,75,BR,1571242246,78,-22.97,78.8,12.75,-42.02
46,port keats,58,AU,1571242246,80,-14.25,79.25,7.66,129.55
47,kaitangata,63,NZ,1571242247,88,-46.28,48.0,1.99,169.85
48,dalmatovo,100,RU,1571242247,82,56.26,36.41,12.45,62.94
49,pandan,100,PH,1571242247,74,11.72,82.49,12.27,122.09
50,albany,40,US,1571242247,58,42.65,61.0,11.41,-73.75
51,bluff,31,AU,1571242248,86,-23.58,69.53,11.67,149.07
52,thompson,90,CA,1571242248,86,55.74,28.4,4.7,-97.86
53,tuktoyaktuk,90,CA,1571242248,92,69.44,24.8,17.22,-133.03
54,kushiro,0,JP,1571242249,76,43.11,45.95,9.99,144.15
55,hamilton,90,CA,1571241718,93,43.26,53.01,9.17,-79.87
56,cherskiy,6,RU,1571242249,90,68.75,24.17,21.08,161.3
57,palana,100,RU,1571242249,94,59.08,29.75,9.98,159.95
58,ponta do sol,2,BR,1571242250,43,-20.63,83.03,7.22,-46.0
59,georgetown,75,GY,1571242250,62,6.8,87.8,11.41,-58.16
60,yar-sale,0,RU,1571242250,87,66.83,25.61,16.37,70.83
61,port alfred,0,ZA,1571242250,87,-33.59,66.0,1.99,26.89
62,daru,23,PG,1571242251,93,-9.07,70.43,4.68,143.21
63,castro,75,CL,1571242254,71,-42.48,51.8,13.87,-73.76
64,nikolskoye,90,RU,1571242254,81,59.7,42.8,6.71,30.79
65,am timan,55,TD,1571242255,85,11.04,77.99,6.83,20.28
66,avarua,96,CK,1571242255,88,-21.21,69.8,3.36,-159.78
67,raudeberg,75,NO,1571242255,76,61.99,53.01,5.82,5.14
68,isangel,20,VU,1571242256,88,-19.55,62.6,14.98,169.27
69,high level,90,CA,1571242256,96,58.52,32.0,5.82,-117.13
70,grand gaube,75,MU,1571242256,94,-20.01,70.0,16.11,57.66
71,tairua,27,NZ,1571242257,78,-37.02,55.99,15.01,175.85
72,cabo san lucas,5,MX,1571242257,74,22.89,82.4,0.92,-109.91
73,klaksvik,100,FO,1571242257,93,62.23,50.0,20.8,-6.59
74,bredasdorp,0,ZA,1571242257,60,-34.53,75.0,10.29,20.04
75,chuy,100,UY,1571242258,91,-33.69,58.37,11.94,-53.46
76,dikson,100,RU,1571242258,75,73.51,25.61,17.41,80.55
77,ribeira grande,40,PT,1571242258,77,38.52,69.8,14.99,-28.7
78,luderitz,36,NA,1571242260,37,-26.65,82.4,12.75,15.16
79,carutapera,76,BR,1571242260,79,-1.2,81.05,14.16,-46.02
80,pitimbu,40,BR,1571242260,51,-7.47,86.0,17.22,-34.81
81,quanzhou,66,CN,1571242261,64,24.9,71.6,6.71,118.59
82,charlestown,75,US,1571242261,63,41.38,64.4,23.04,-71.64
83,adjumani,99,UG,1571242261,83,3.38,77.09,5.42,31.79
84,aklavik,90,CA,1571242261,85,68.22,24.8,12.75,-135.01
85,kupang,20,ID,1571242262,83,-10.16,75.2,6.93,123.6
86,talnakh,75,RU,1571242262,92,69.49,14.0,33.55,88.39
87,grand-lahou,15,CI,1571242263,84,5.24,79.25,13.09,-5.0
88,torbay,90,CA,1571242263,100,47.66,57.99,12.75,-52.73
89,port elizabeth,90,US,1571242263,82,39.31,69.01,10.29,-74.98
90,walvis bay,0,NA,1571242264,47,-22.95,77.0,10.29,14.51
91,clyde river,75,CA,1571242264,92,70.47,26.6,10.29,-68.59
92,sena madureira,93,BR,1571242264,86,-9.07,81.77,2.91,-68.66
93,kodiak,90,US,1571242265,70,39.95,48.0,9.17,-94.76
94,dingle,99,PH,1571241672,90,11.0,74.75,7.73,122.67
95,lavrentiya,100,RU,1571242265,74,65.58,34.61,11.9,-170.99
96,hasaki,25,JP,1571242266,82,35.73,59.0,4.7,140.83
97,mana,77,NG,1571242266,29,13.03,96.35,1.45,5.27
98,yellowknife,90,CA,1571242267,98,62.45,32.0,13.87,-114.38
99,churapcha,100,RU,1571242267,94,62.0,18.41,6.91,132.43
100,tiksi,100,RU,1571242267,96,71.64,22.55,5.41,128.87
101,santa isabel,20,MX,1571242271,29,32.63,77.0,6.93,-115.58
102,ilulissat,40,GL,1571242271,53,69.22,26.6,4.82,-51.1
103,robore,4,BO,1571242271,73,-18.33,75.2,5.25,-59.76
104,sola,55,TZ,1571242272,23,-3.17,88.07,8.51,33.8
105,upernavik,100,GL,1571242272,93,72.79,28.49,9.97,-56.15
